,单价,地址,小区,年份,总价,户型,朝向,标题,楼层,面积
30,16322,民族大道-民族大道水蓝路(锦绣龙城旁),光谷自由城,2015年建,142.0,3室2厅,南向,光谷自由城 性价比 三房 全朝南 房东自住没租过 有钥匙,中层（共32层）,87.0
31,13595,光谷东-东湖高新光谷三路,烽云慧城,2017年建,128.0,2室2厅,南北向,绿地理想城旁 烽云慧城 单价仅1.35万,高层（共19层）,94.15
32,15979,金融港-光谷一路与高新六路交汇处(2号线南延长线佛祖,当代国际城,2018年建,165.0,3室2厅,南北向,"正地铁口当代国际城,一梯两户,小高层,光谷十五小,有钥匙",低层（共11层）,103.26
33,18254,民族大道-东湖开发区民族大道与天际路交汇处(保利十二橡,当代安普顿小镇,2015年建,230.0,3室2厅,南北向,当代安普顿小镇 通透精装三房 还是无税的,低层（共18层）,126.0
34,20686,金融港-东湖高新开发区光谷高新四路1号,万科魅力之城,2009年建,88.0,1室1厅,东西向,"金融港旁,万科魅力之城精装一居室急售,满两年,无贷款,随时看",高层（共6层）,42.54
35,24157,金融港-东湖新技术开发区大学园路1号,万科红郡,2013年建,215.0,3室2厅,南北向,"万科红郡,自住房,三室一厅,直接看房",低层（共32层）,89.0
36,15038,光谷东-花城大道与梅城路交汇处(花山生态艺术馆旁),万科花山紫悦湾,2016年建,140.0,3室2厅,南北向,万科花山紫悦湾豪华3房没有住过人南北通透采光看房随时看,低层（共28层）,93.1
37,23394,关山-关山大道与关南园路路口东行200米(光谷六小,万科城花�Z苑,2015年建,255.0,3室2厅,南北向,双XUE区 万科城花�Z苑 南北通透大三房 次新房 从未入住随时看房,中层（共32层）,109.0
38,18519,光谷东-高新二路与大吕路交汇处(省奥体中心旁),北辰优+,2016年建,150.0,2室2厅,南向,光谷东 光谷满庭春 北辰优加 精装朝南两房 好楼层随时看房,高层（共33层）,81.0
39,17532,民族大道-天际路与庙山中路交汇处(华师一附中以西600,名湖豪庭,2015年建,135.0,2室1厅,南向,名湖豪庭 全南2房 满2年 精装 带全房家具家电,低层（共33层）,77.0
40,20652,光谷-南湖大道102号,江南家园,2002年建,190.0,2室2厅,南北向,光谷天地软件园旁江南家园 电梯通透2房 照片实拍 诚意出售,低层（共11层）,92.0
41,17143,民族大道-光谷民族大道888号,锦绣龙城,2009年建,168.0,3室2厅,南北向,"锦绣龙城,9号线地铁口,精装三房,满二年无税,只需168万",低层（共49层）,98.0
42,13143,光谷东-花山生态新城严西湖大桥东侧桥头(花城大道与花,碧桂园生态城左岸,2016年建,138.0,3室2厅,南向,花山软件新城地铁口碧桂园生态城左岸业主急售好房不等人,高层（共32层）,105.0
43,17905,光谷-南湖大道102号,江南家园,2002年建,265.0,3室2厅,南北向,民族大道 江南家园 中间楼层 精装无税大三房 随时看房,高层（共11层）,148.0
44,26052,光谷-关山大道332号(新竹路与关山大道交汇处),保利时代,2018年建,192.0,2室1厅,南向,满2年立省5万+保利时代 金地格林东郡+73平精装2房+换房急急急,高层（共34层）,73.7
45,18750,民族大道-东湖开发区民族大道与天际路交汇处(保利十二橡,当代安普顿小镇,2014年建,210.0,3室2厅,南北向,名湖豪庭旁精装大三房随时看高楼层视野关山汤逊湖旁车位10万,低层（共34层）,112.0
46,21053,关山-雄楚大道与珞新路交汇处(距光谷步行街约150,光谷汇景,2016年建,80.0,1室1厅,西南向,首付至低25万住宅 光谷汇景 光谷 保利时代附近,中层（共32层）,38.0
47,17812,金融港-光谷一路与高新六路交汇处(2号线南延长线佛祖,当代国际城,2015年建,184.0,3室1厅,南北向,"正地铁口洋房仅103平168万 价格降至冰点,看中就签约",中层（共11层）,103.3
48,16111,民族大道-龙城路与天际路交汇处,宝业光谷丽都,2015年建,145.0,2室2厅,南向,再次民族大道 光谷丽都小区 全新二十万婚房装修 急售,中层（共33层）,90.0
49,16456,民族大道-光谷民族大道888号,锦绣龙城,2009年建,130.0,2室2厅,南向,"龙城买房找欢哥,地球人都知道,拒绝虚假房源从我做起",中层（共33层）,79.0
50,8914,光谷东-葛店经济开发区电商大道与陶塘大道交汇处(唯品,新城汇隽,2018年建,93.6,3室2厅,南北向,葛店新城汇隽精装三房一线临湖电商基地大学城旁,中层（共34层）,105.0
51,18382,金融港-东湖高新开发区光谷高新四路1号,万科魅力之城,2008年建,125.0,2室2厅,南北向,专盘 万科魅力之城62+8 精装两房 中高楼层 首付仅30万,中层（共18层）,68.0
52,19231,关山-高新大道与光谷一路交汇处(光谷一路天成美雅站,统建天成美雅,2016年建,175.0,2室2厅,南向,"光谷 关山大道,软件园 火车站旁统建天成美雅豪华装修两居满二",中层（共33层）,91.0
53,16250,光谷东-珊瑚北路与九峰二路交汇处(新能源研究院北侧),北大资源山水年华,2017年建,143.0,3室2厅,南北向,光谷东高新大道未来科技城华为基地山水年华毛坯小三房诚售,中层（共33层）,88.0
54,22748,关山-关山大道与关南园路路口东行200米(光谷六小,万科城花�Z苑,2014年建,250.0,3室2厅,南北向,万科城花�Z苑3室250万元精品业主抛售精品,中层（共34层）,109.9
55,16818,民族大道-天际路与庙山中路交汇处(华师一附中以西600,名湖豪庭,2015年建,148.0,2室2厅,南向,"动动你的手不用满城跑,名湖豪庭有你满意的爱巢!",中层（共33层）,88.0
56,18523,光谷-荷叶山路与关东园五路交汇处(荷叶山社区对面),蓝光COCO时代,2015年建,163.0,3室2厅,南向,割肉贱卖 求诚心客户 精装3居室中高通透好随时看房,高层（共32层）,88.0
57,20238,关山-关山大道和南湖大道交汇处(光谷创意大厦与光谷,联想江城雅居,2014年建,255.0,3室2厅,南北向,江城雅居 双学卫 实验+1小 通透户型 30万急售中,中层（共33层）,126.0
58,33071,金融港-东湖新技术开发区大学园路1号,万科城市花园,2007年建,290.0,4室2厅,南北向,万科城市花园 稀-缺 -顶-楼真复式 南北通透- 买一层送一层,高层（共6层）,87.69
59,16610,民族大道-民族大道与汤逊湖北路交汇处以西200米(华师,中冶南方韵湖首府,2013年建,196.0,4室2厅,南北向,光谷关山全国华师一旁产证面积118实用面积155急卖,高层（共18层）,118.0
60,26086,光谷-关山大道332号(新竹路与关山大道交汇处),保利时代,2018年建,236.0,3室2厅,南北向,满2少税+近地铁口――保利时代专盘+90平精装3房+南北全明户型,高层（共34层）,90.47
61,16695,民族大道-民族大道与汤逊湖北路交汇处以西200米(华师,中冶南方韵湖首府,2013年建,197.0,4室2厅,南北向,光谷关山枫叶旁产证面积118实用面积155豪装可五房,高层（共32层）,118.0
62,14646,光谷-洪山区熊家咀180号,惠安新苑,2006年建,122.0,2室2厅,南北向,光谷 惠安新苑新出精装通透2房 采光好 单价低 急售,中层（共7层）,83.3
63,22340,金融港-东湖新技术开发区大学园路1号,万科城市花园,2007年建,210.0,2室2厅,西南向,万科城市花园 低首付 捡-漏房 暖气 带花园 产证满-5唯-1 有钥匙,低层（共5层）,94.0
64,26277,金融港-东湖新技术开发区大学园路1号,万科红郡,2013年建,360.0,4室2厅,南北向,"万科红郡,豪装大平层,137+30平,交通更便利,有钥匙随时看",中层（共18层）,137.0
65,18068,民族大道-龙城路与天际路交汇处,宝业光谷丽都,2015年建,159.0,2室2厅,南向,"宝业光谷丽都11栋10楼,看中价格可以谈,加10万送楼下车位",低层（共33层）,88.0
66,18906,民族大道-大学园路4号(万科城市花园对面),博海光谷麒麟社,2012年建,177.0,2室2厅,南北向,麒麟社精装两房南北通透采光好前后无遮挡产证满二,中层（共18层）,93.62
67,13366,民族大道-东湖经济开发区光谷创业街特1号(庙山管委会旁,光谷未来阳光海岸,2010年建,135.0,3室2厅,南北向,光谷附近阳光海岸精装三房无税 地段佳 看中随时签,高层（共6层）,101.0
68,19072,光谷-珞喻东路和关东园五路交汇处,葛洲坝世纪花园,2009年建,185.0,2室2厅,南向,光谷创业街关山葛洲坝世纪花园精装两居室 南北通透 随时看房,高层（共7层）,97.0
69,14091,光谷东-花城大道9号(软件新城公交站旁),亿达云山湖,2017年建,155.0,3室2厅,南向,花山碧桂园生态城 亿达云山湖110平 南北双阳台哦,中层（共11层）,110.0
70,23148,关山-高新二路与关南园二路交汇处(光谷天地旁),光谷坐标城九期,2015年建,125.0,1室1厅,东南向,上新!软件园+沃尔玛+有轨站+LIU小 坐标城 精装1房1厅 甩卖,中层（共32层）,54.0
71,18475,光谷东-高新二路与大吕路交汇处(省奥体中心旁),北辰优+,2013年建,218.0,3室2厅,南北向,急售 洋房 洋房 光谷生物城旁北辰优加 通透三房带露台,中层（共6层）,118.0
72,22624,关山-关山大道与纺织路交汇处(金地格林东郡旁),红枫金座,2017年建,100.0,1室1厅,南向,关山大道地铁口 小户型 精装住宅 直接认购 一室一厅一厨一卫,中层（共30层）,44.2
73,15625,光谷东-花城大道与梅城路交汇处(花山生态艺术馆旁),万科花山紫悦湾,2018年建,200.0,3室2厅,南北向,万科花山紫悦湾精装大三房南北通透五层花园洋房,高层（共5层）,128.0
74,18892,关山-关山大道589-590号,中建康城,2014年建,175.0,3室2厅,南向,中建康城 业主自住 精装带车位好房出售,高层（共18层）,92.63
75,19529,关山-东湖开发区光谷软件园三路10号,清江山水,2015年建,166.0,2室2厅,南向,光谷软件园 江南家园 清江山水 精装2房2厅 低总价诚心卖,低层（共32层）,85.0
76,25781,关山-东湖新技术开发区关山大道349号,光谷新世界,2014年建,165.0,1室1厅,南向,"正规一室一厅,朝南,采光好,满两年低税费,有钥匙随时看",低层（共18层）,64.0
77,20238,光谷-东湖开发区雄楚大街946号,紫菘枫林上城,2006年建,255.0,3室2厅,南北向,"房子满五 ,后期税费少,楼层采光充足,视野开阔",低层（共30层）,126.0
78,30142,光谷-东湖高新区珞喻东路22号,恒大华府,2012年建,850.0,4室3厅,南北向,"恒大华府朝南大露台,豪华装修,中间楼层,大气 看房方便",中层（共11层）,282.0
79,18333,民族大道-民族大道与庙山中路交汇处以西1公里(湿地公园,天祥尚府,2015年建,165.0,3室2厅,南向,天祥尚府精装修小三房高楼层湖景房只需165万,高层（共34层）,90.0
80,19069,关山-东湖开发区光谷软件园三路10号,清江山水,2012年建,152.0,2室2厅,南北向,"高楼层,业主诚心出售.看房提前预约",高层（共25层）,79.71
81,19231,"金融港-东湖新技术开发区光谷大道71号,金融港内",佛奥俊贤雅居,2014年建,125.0,2室1厅,南北向,刚需请看!佛奥俊贤雅居65平两室125万急售!中上楼层!!,高层（共22层）,65.0
82,16038,关山-东湖新技术开发区茅店山路6号,加州香山美树,2015年建,170.0,3室2厅,南北向,"加州香山美树标准3房格局,可以做婚房,是您居家立业",中层（共24层）,106.0
83,20450,关山-东湖新技术开发区关山大道399号(金地太阳城,关山春晓,2005年建,200.0,2室2厅,南北向,关山春晓南北通透精装两房两证满两年有钥匙看房急售,中层（共4层）,97.8
84,20271,关山-东湖开发区光谷软件园三路10号,清江山水,2014年建,160.0,2室1厅,南向,清江山水2.2期 朝南的户型 明厨明卫 看房有钥匙,低层（共18层）,78.93
85,25714,关山-东湖开发区关山一路369号,金地太阳城,2004年建,180.0,2室2厅,南北向,"金地太阳城,刚需两房,温馨之家!",高层（共11层）,70.0
86,22936,关山-关山大道与关南园路路口东行200米(光谷六小,万科城花�Z苑,2015年建,250.0,3室2厅,南北向,关山大道 +房东定居深圳诚心出售+万科物业,中层（共34层）,109.0
87,22886,金融港-康魅路1号(高新四路谷尚居与魅力之城之间),金地艺境,2015年建,330.0,4室2厅,南北向,东湖高新 金地艺境 楼层好 居家精装 满两年,高层（共34层）,144.19
88,24731,关山-东湖新技术开发区关山大道349号,光谷新世界,2015年建,230.0,2室2厅,南向,光谷新全南两房业主自住精装 满二少税 单价不到2.4,低层（共32层）,93.0
89,15873,光谷东-高新二路省奥体中心东侧500米(奥体中心旁),光谷满庭春MOMΛ,2016年建,140.0,3室2厅,东南向,优选满两年光谷满庭春 集中供暖 北辰优朗诗里程旁政务中心,高层（共33层）,88.2
90,16471,民族大道-光谷民族大道888号,锦绣龙城,2009年建,140.0,2室2厅,南北向,"锦绣龙城,新鲜出炉,业主急卖,买到就是赚到,",低层（共18层）,85.0
91,18678,关山-东湖开发区关山一路369号,金地太阳城,2012年建,243.0,3室2厅,南北向,金地太 阳城精装三房满五精 选房源,低层（共6层）,130.1
92,19820,光谷-雄楚大道998号(核动力研究所对面),阳光在线二期,2009年建,220.0,3室2厅,南北向,光谷关山 保利时代阳光在线二期 精装通透三房 好地段好户型,高层（共18层）,111.0
93,18436,民族大道-民族大道与庙山中路交汇处以西1公里(湿地公园,天祥尚府,2017年建,165.0,3室2厅,南向,全天祥尚府便宜的一套 精装三房 找我帮你省税 无人入住过,低层（共32层）,89.5
94,12364,民族大道-东湖新技术开发区汤逊湖畔(距离汤逊湖旅游度假,汤逊湖山庄,2012年建,68.0,1室1厅,南向,"江夏庙山地铁9号线,城际线,汤逊湖山庄,精装修电梯小户型急售",高层（共12层）,55.0
95,21875,光谷-珞喻东路和关东园五路交汇处,葛洲坝世纪花园,2009年建,210.0,3室2厅,南向,葛洲坝世纪花园 全新精装3房 满2无税 210万 有钥匙可看,高层（共7层）,96.0
96,15049,民族大道-光谷民族大道888号,锦绣龙城,2014年建,155.0,3室2厅,南北向,锦绣龙城 精装三房 小区中间位置 满五 送大露台 业主急售,中层（共18层）,103.0
97,23431,关山-雄楚大道与珞新路交汇处(距光谷步行街约150,光谷汇景,2014年建,90.0,1室1厅,南向,保利时代旁光谷汇景纯毛坯现房首付25万起无后期费用随时签,中层（共32层）,38.41
98,19167,关山-东湖新技术开发区茅店山路6号,加州香山美树,2013年建,161.0,2室2厅,南向,急售!加州香山美树精装自住实用2室 家具家电全送随时看房,中层（共28层）,84.0
99,15625,金融港-高新四路以南、光谷一路以东(联想产业基地对面,旭辉御府,2015年建,125.0,2室2厅,南北向,光谷金融港2号1号线高新四路旭辉御府刚需两房中装125万急急,高层（共32层）,80.0
100,14085,光谷东-高新四路与佛祖岭二路交汇处,当代云谷,2017年建,200.0,4室2厅,南北向,光谷东 当代云谷 142平南北通透 毛坯四房 无需摇号,中层（共30层）,142.0
101,18695,关山-光谷软件园三路10号,清江山水二期,2013年建,149.0,3室2厅,南向,关山 关谷软件园 清江山水 78加6平米 小三房 150万 清水毛坯,中层（共32层）,79.7
102,22892,金融港-东湖新技术开发区大学园路1号,万科红郡,2013年建,190.0,2室2厅,南北向,"万科红郡83精装两房,高层湖景房,业主急售,看中可小刀",中层（共32层）,83.0
103,21203,民族大道-天际路与庙山中路交汇处(华师一附中以西600,名湖豪庭,2016年建,282.0,4室2厅,南北向,"穿过山丘才发现无人等候,错过才知回头难,名湖豪华装大四房急售",中层（共34层）,133.0
104,19231,关山-东湖开发区光谷软件园三路10号,清江山水,2012年建,75.0,1室1厅,南北向,光谷十小旁 清江山水 满五无税 房东换房急售 看中即签,中层（共18层）,39.0
105,21373,光谷-关山大道332号(新竹路与关山大道交汇处),保利时代,2018年建,218.0,3室2厅,南北向,保利时代 融科天域 对·口光谷一·小老校区 光谷天地旁边,中层（共32层）,102.0
106,22596,关山-关山大道与南湖大道交汇处(光谷创意大厦旁),融科天域,2014年建,235.0,3室2厅,南北向,融科天域舒适 三房20万急售有装修随时入住,低层（共32层）,104.0
107,25357,关山-光谷步行街关山大道口,世界城香榭丽舍,2017年建,213.0,2室2厅,南北向,"世界城香榭丽舍,品牌地产,小户型,地铁沿线,均价25500",中层（共33层）,84.0
108,16392,民族大道-民族大道与汤逊湖北路交汇处以西200米(华师,中冶南方韵湖首府,2013年建,159.0,3室2厅,南北向,"光谷华师汤逊湖,韵湖首府,清水毛坯,南北通透三房,急售",中层（共32层）,97.0
109,16000,民族大道-光谷民族大道888号,锦绣龙城,2009年建,80.0,1室1厅,南向,民族大道 锦绣龙城 一手资源 正规一室一厅 月供少,中层（共32层）,50.0
110,22472,关山-东湖新技术开发区关山大道399号(金地太阳城,关山春晓,2004年建,280.0,3室2厅,南北向,关山春晓 光谷 坐拥主商圈 保利广场K11,中层（共6层）,124.6
111,17500,关山-东湖新技术开发区茅店山路6号,加州香山美树,2013年建,210.0,3室2厅,南北向,清江山水旁 花园洋房 精装三房 两证满五 带暖气 低于市场 急售,高层（共4层）,120.0
112,20138,关山-东湖新技术开发区关山一路74号,保利花园,2004年建,175.0,2室1厅,南向,急售!光谷关山大道旁 保利花园 精装2房 中间楼层 业主诚售,中层（共18层）,86.9
113,25304,金融港-东湖新技术开发区大学园路1号,万科城市花园,2009年建,278.6,3室2厅,南北向,4月17日上新+万科城花少有110平三房+露台+带xue位!,中层（共5层）,110.1
114,20349,光谷东-高科园路与神墩二路交汇处(光谷六路站旁),光谷188国际社区,2015年建,175.0,2室2厅,南向,给我一个信任 我给您一个家光谷188国际社区 精装两房急售,高层（共32层）,86.0
115,21552,关山-关山大道和南湖大道交汇处(光谷创意大厦与光谷,联想江城雅居,2018年建,270.0,3室2厅,南北向,"历史低价,坚决不能错过的好房真心好房有钥匙",中层（共32层）,125.28
116,19474,关山-雄楚大道与珞新路交汇处(距光谷步行街约150,光谷汇景,2016年建,74.0,1室1厅,南向,武昌小户型住宅 步行5到光谷广场 首付25万即买即住,高层（共32层）,38.0
117,17065,民族大道-民族大道水蓝路(锦绣龙城旁),光谷自由城,2014年建,150.0,2室1厅,南北向,保真 急售 锦绣龙城旁 毛坯2房 看房有钥匙,高层（共32层）,87.9
118,26026,金融港-东湖新技术开发区大学园路1号,万科城市花园,2007年建,260.0,3室2厅,南北向,万科城市花园3房2厅1卫 户型方正 南北通透 小区�嶂行牡奈恢�,中层（共5层）,99.9
119,20360,金融港-光谷大道106号,当代国际花园,2010年建,190.0,2室2厅,南北向,当代国际花园 稀-缺标准两房 地-铁-口 居家保养 户型方正 诚售,中层（共34层）,93.32
120,20588,光谷-洪山区珞喻东路14号,现代森林花园,2006年建,210.0,2室2厅,南北向,光谷/现代森林花园/精装两房/102平210万无税业主自住,低层（共11层）,102.0
121,16667,"民族大道-华师一附中西侧,汤逊湖北路与保利北路交汇处",光谷地产湾郡,2011年建,210.0,3室2厅,南向,"业主自住精装三房两卫,南北通透,诚心出售,有,近韵湖公园",高层（共18层）,126.0
122,18806,光谷-南湖大道102号,江南家园,2002年建,285.0,3室2厅,南北向,"光谷软件园江南家园南北通透大三居室,满二年,电梯婚房精装修",高层（共12层）,151.55
123,30646,金融港-东湖新技术开发区大学园路1号,万科城市花园,2007年建,290.0,3室2厅,南北向,"新上城花上西复式三房,自住保养,低-价-捡-漏",高层（共5层）,94.63
124,22576,关山-东湖开发区光谷软件园三路10号,清江山水,2013年建,78.0,1室1厅,南向,光谷 关山 清江山水 精装一室一厅 全南户型 送家具家电 有钥匙,高层（共11层）,34.55
125,23407,金融港-东湖高新开发区光谷高新四路1号,万科魅力之城,2013年建,158.0,2室2厅,南北向,"此房满五年,中间楼层,采光好,一梯两户",中层（共11层）,67.5
126,25547,金融港-东湖新技术开发区大学园路1号,万科红郡,2013年建,350.0,4室2厅,南北向,"万科红郡 学!区,尽可享受的优!质教!育 给您孩子放飞梦的翅膀",低层（共18层）,137.0
127,18962,关山-东湖新技术开发区关山一路74号,保利花园,2008年建,212.0,3室2厅,南北向,保利花园 南北通透的三房 看房随时 业主急售 精装修,中层（共11层）,111.8
128,15955,民族大道-东湖开发区民族大道与天际路交汇处(保利十二橡,当代安普顿小镇,2015年建,142.0,2室2厅,南北向,精装自住大两房 南北通透户型 两证无税 小高层 急卖,高层（共11层）,89.0
129,22807,关山-雄楚大道与珞新路交汇处(距光谷步行街约150,光谷汇景,2018年建,130.0,1室1厅,南向,光谷核心商圈 70年住宅新盘 通天然气明水明电 即将开盘 稳定拿房,中层（共34层）,57.0
130,18182,民族大道-民族大道与汤逊湖北路交汇处(华师一附中旁),中国铁建梧桐苑,2017年建,168.0,3室2厅,南北向,梧桐苑丨丽岛美生丨精装全赠送丨高等学府丨中间楼层,中层（共23层）,92.4
131,22455,关山-关山大道与纺织路交汇处(金地格林东郡旁),红枫金座,2017年建,98.8,1室1厅,南北向,光谷核心区域70年精装迷你小户型年轻情侣的选择首付28万,中层（共32层）,44.0
132,16522,民族大道-民族大道与汤逊湖北路交汇处(华师一附中旁),中国铁建梧桐苑,2016年建,190.0,3室2厅,南北向,房东心痛出!铁建梧桐苑 三房190万 满2年!汤逊湖小学,中层（共26层）,115.0
133,22174,金融港-光谷大道106号,当代国际花园,2015年建,255.0,3室2厅,南向,急售 当代国际花园 地铁口四期 精装电梯房 送露台 随时可以看房,低层（共30层）,115.0
134,14773,民族大道-光谷民族大道888号,锦绣龙城,2009年建,130.0,3室2厅,南北向,三房户型 满二无税 婚房精装三房 首付四十万搞下家具家电,高层（共32层）,88.0
135,18028,光谷东-高新大道光谷六路与神墩二路交汇处(中国十五冶,朗诗里程,2016年建,128.0,2室2厅,南向,捡漏房源看过来 朗诗里程精装二房急售 看房有钥匙,中层（共32层）,71.0
136,22727,关山-东湖开发区关山二路特1号,Free阁调,2004年建,100.0,1室1厅,南向,"妥妥的一、小、学、区、房,刚需的动手吧!",低层（共6层）,44.0
137,15909,光谷-光谷转盘鲁广超市背后,光谷燃料小区,1998年建,140.0,2室2厅,南北向,"中山路大东门武昌火车站地铁周边,燃料小区3楼,中山路",中层（共7层）,88.0
138,22041,关山-关山大道与南湖大道交汇处(光谷创意大厦旁),融科天域,2017年建,270.0,3室2厅,南北向,"实拍软件园融科天域大三房,单价两万二,房东置换急售看房有钥匙",中层（共32层）,122.5
139,17092,光谷东-高新大道光谷六路与神墩二路交汇处(中国十五冶,朗诗里程,2017年建,120.0,2室2厅,南向,光谷东朗诗里程70平精装两房婚房装修家具家电全送120万,高层（共27层）,70.21
140,16409,民族大道-龙城路与天际路交汇处,宝业光谷丽都,2015年建,146.2,3室2厅,南北向,"锦绣龙城宝业光谷丽都毛坯小三房,南北通透,满二无税,有钥匙",低层（共18层）,89.1
